name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","write",5.1927091,1.572e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19271097,1.596e-06,"TPM_DATA_FIFO_0","d40024","09",0x0000000000000001,
"TPM SPI","write",5.19271288,1.568e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19271475,1.598e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19271666,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19271853,1.6e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19272044,1.564e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19272231,1.602e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19272422,1.564e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19272609,1.6e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19272799,1.562e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","write",5.19272986,1.6e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",5.19273176,1.568e-06,"TPM_DATA_FIFO_0","d40024","0b",0x0000000000000001,
"TPM SPI","write",5.19273364,1.596e-06,"TPM_DATA_FIFO_0","d40024","ca",0x0000000000000001,
"TPM SPI","write",5.19273554,1.57e-06,"TPM_DATA_FIFO_0","d40024","c6",0x0000000000000001,
"TPM SPI","write",5.19273742,1.59e-06,"TPM_DATA_FIFO_0","d40024","6c",0x0000000000000001,
"TPM SPI","write",5.19273931,1.576e-06,"TPM_DATA_FIFO_0","d40024","14",0x0000000000000001,
"TPM SPI","write",5.1927412,1.586e-06,"TPM_DATA_FIFO_0","d40024","ed",0x0000000000000001,
"TPM SPI","write",5.19274309,1.58e-06,"TPM_DATA_FIFO_0","d40024","c9",0x0000000000000001,
"TPM SPI","write",5.19274498,1.584e-06,"TPM_DATA_FIFO_0","d40024","17",0x0000000000000001,
